Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2018-01-17,Chungha,Roller Coaster,롤러코스터,,https://youtu.be/900X9fDFLc4,Girl Solo,Major,219,900X9fDFLc4,81458395,876585,19053
2018-01-17,JBJ,My Flower,꽃이야,,https://youtu.be/uexk7jWXYmU,Boy,Major,207,uexk7jWXYmU,26979860,607750,29243
2018-01-16,Girlkind,FANCI,팬시,,https://youtu.be/LRoednGUmCE,Girl,Major,234,LRoednGUmCE,1037796,59383,5711
2018-01-15,Stray Kids,Spread My Wings (Performance),어린 날개,,https://youtu.be/Xo8FPXlI3CU,Boy,Minor,205,Xo8FPXlI3CU,18828105,653750,21935
2018-01-14,Various,Shadow,,,https://youtu.be/8L4CPwqcd1w,Girl,Major,188,8L4CPwqcd1w,67407,1363,129
2018-01-12,NCT U,Timeless,텐데...,,https://youtu.be/PmH948yZwhE,Boy,Minor,258,PmH948yZwhE,9059575,350581,11573
2018-01-11,Weki Meki,Butterfly,,,https://youtu.be/zVLXJfdhBtg,Girl,CF,166,zVLXJfdhBtg,741283,35859,1362
2018-01-11,Twice,Candy Pop,캔디팝,Naive,https://youtu.be/wQ_POfToaVY,Girl,Japanese,265,wQ_POfToaVY,162904502,1791403,109468
2018-01-10,MXM,Diamond Girl,다이아몬드걸,,https://youtu.be/ZmTVq81q35M,Boy,Minor,192,ZmTVq81q35M,2133273,105293,3213
2018-01-10,Jo Kwon,Lonely,새벽,,https://youtu.be/DpObGkT0GZc,Boy Solo,Minor,262,DpObGkT0GZc,666073,26481,1055
2018-01-09,Oh My Girl,Secret Garden,비밀정원,,https://youtu.be/QIN5_tJRiyY,Girl,Major,259,QIN5_tJRiyY,22342837,240564,16349
2018-01-09,MONSTA X,Spotlight,스포트라이트,,https://youtu.be/_53QwBl9m88,Boy,Japanese,249,_53QwBl9m88,10725379,301095,14241
2018-01-08,Infinite,Tell Me,텔미,,https://youtu.be/TM-gCW45YHc,Boy,Major,240,TM-gCW45YHc,12149319,396863,62960
2018-01-08,Block B,Don't Leave,떠나지마요,,https://youtu.be/j0FrZ40fPiA,Boy,Major,240,j0FrZ40fPiA,6217468,175662,7891
2018-01-08,Jang Wooyoung,Going Going,고잉고잉,,https://youtu.be/8TBDBCdaf3Y,Boy Solo,Minor,215,8TBDBCdaf3Y,856097,47740,2385
2018-01-07,Stray Kids,Beware (Performance),총량의 법칙,,https://youtu.be/Sy3ERg7OCWo,Boy,Minor,192,Sy3ERg7OCWo,17190654,706426,30354
2018-01-05,Voisper,Missing U,꺼내보면,,https://youtu.be/3R4wdqRcWRI,Boy,Major,225,3R4wdqRcWRI,23965,1643,126
2018-01-05,Hint,Walkie Talkie,워키토키,,https://youtu.be/7apicwn8bmM,Girl,Major,211,7apicwn8bmM,139808,5314,338
2018-01-04,Live High,Yes,예스,,https://youtu.be/tlfdXqlkb8M,Girl,Major,218,tlfdXqlkb8M,119016,3807,277
2018-01-04,Mamamoo,Paint Me,칠해줘,,https://youtu.be/20sOM7AlU3Y,Girl,Minor,221,20sOM7AlU3Y,4249514,198349,13218
2018-01-04,5tion,Come Back,돌아와줘요,,https://youtu.be/tWhYLVhSzrg,Boy,Major,227,tWhYLVhSzrg,6615,158,15
2018-01-03,N.Flying,Hot Potato,뜨거운 감자,,https://youtu.be/y1iRckD1ys4,Boy,Major,201,y1iRckD1ys4,6606706,216433,7619
2018-01-03,Momoland,BBoom BBoom,뿜뿜,,https://youtu.be/JQGRg8XBnB4,Girl,Major,211,JQGRg8XBnB4,586582778,4677927,364636
2018-01-02,PLT,Blah,,,https://youtu.be/OGDkrq3cqYU,Boy,Minor,248,OGDkrq3cqYU,120520,10327,713
2018-01-02,TRCNG,Wolf Baby,울프베이비,,https://youtu.be/-kOVdJD_4kM,Boy,Major,227,-kOVdJD_4kM,975867,59298,2457
2018-01-02,Drug Restaurant,Her,헐,,https://youtu.be/IjDn1HXrNTY,Boy,Major,253,IjDn1HXrNTY,906579,35026,1736
2017-12-28,LOONA,Heart Attack (Chuu),하트 어택,Digipedi,https://youtu.be/BVVfMFS3mgc,Girl,Major,245,BVVfMFS3mgc,31300297,861495,43580
2017-12-28,Younha,Parade,퍼레이드,,https://youtu.be/7bPffIZot10,Girl Solo,Major,195,7bPffIZot10,3202072,55499,3033
2017-12-27,EXO,Universe,,,https://youtu.be/leu-cTvMWTA,Boy,Major,290,leu-cTvMWTA,53242283,1728849,161753
2017-12-26,Super Junior-D&E,You Don't Go,,,https://youtu.be/GBA0wE7qgWk,Boy,Japanese,228,GBA0wE7qgWk,697687,25843,2880
2017-12-25,1NB,"Winter, again",다시겨울,,https://youtu.be/1fycAID1dKo,Girl,Minor,233,1fycAID1dKo,39383,2012,210
2017-12-23,BoA,Jazzclub,재즈클럽,,https://youtu.be/xP-DFPuODcM,Girl Solo,Japanese,282,xP-DFPuODcM,2097348,67134,2753
2017-12-23,NU'EST W,Let Me Out,,,https://youtu.be/333AbjpGqk8,Boy,OST,198,333AbjpGqk8,19685480,273769,9924
2017-12-22,Twice,Merry & Happy,,Mustache Films,https://youtu.be/zi_6oaQyckM,Girl,Minor,209,zi_6oaQyckM,44672878,870830,40790
2017-12-17,Sha Sha,White Story,,,https://youtu.be/eECOobsEXCQ,Girl,Minor,241,eECOobsEXCQ,54062,2073,157
2017-12-17,Laysha,Pink Label,핑크라벨,,https://youtu.be/8IDrpXUAjpU,Girl,Minor,210,LHzo1nUrzuU,6713,165,5
2017-12-15,NCT DREAM,Joy,조이,,https://youtu.be/VMMl0DopcdM,Boy,Minor,180,VMMl0DopcdM,4463363,305729,9457
2017-12-14,B.A.P,Hands Up,핸즈업,,https://youtu.be/Cd8UxUlqaZ8,Boy,Major,226,Cd8UxUlqaZ8,7242462,281321,17994
2017-12-12,Twice,Heart Shaker,하트 쉐이커,Naive,https://youtu.be/rRzxEiBLQCA,Girl,Major,193,rRzxEiBLQCA,429021647,3398415,309162
2017-12-07,Mighty Mouth,Instagram,,,https://youtu.be/xv8HfP2J97E,Boy,Major,214,xv8HfP2J97E,20151,315,32
2017-12-06,The Boyz,Boy,소년,Naive,https://youtu.be/yuk0LHFSlR8,Boy,Major,215,yuk0LHFSlR8,11760679,260939,12467
2017-12-06,KARD,Trust Me,,,https://youtu.be/dhF3Y7esoWM,Co-ed,Minor,167,dhF3Y7esoWM,5386664,266831,11429
2017-12-06,Snuper,Stand by me,,,https://youtu.be/aHXPRm_0y3U,Boy,Japanese,293,aHXPRm_0y3U,89464,2869,345
2017-12-05,DAY6,I Like You,좋아합니다,,https://youtu.be/daoMYJv8i0c,Boy,Major,255,daoMYJv8i0c,15247283,424019,16332
2017-12-05,EXO,Electric Kiss,,,https://youtu.be/BC19fhyTG_M,Boy,Japanese,161,BC19fhyTG_M,30456077,1328979,108030
2017-12-05,Hyuna,Lip & Hip,립앤힙,,https://youtu.be/vcqImqOVE2U,Girl Solo,Major,221,vcqImqOVE2U,47457556,828741,29240
2017-12-04,ANYWAY,Follow You,팔로우 유,,https://youtu.be/6ChZkgkpIzg,Boy,Minor,195,6ChZkgkpIzg,39696,3003,238
2017-11-29,1NB,Where U at,쉽지않아,,https://youtu.be/x2I4YoPdT84,Girl,Minor,309,x2I4YoPdT84,376438,18021,2064
2017-11-29,fromis_9,Glass Shoes,유리구두,,https://youtu.be/hXK6tWnvKR4,Girl,Minor,215,hXK6tWnvKR4,346954,17724,1193
2017-11-28,LOONA,new (Yves),뉴,Digipedi,https://youtu.be/LIDe-yTxda0,Girl,Major,193,LIDe-yTxda0,9935408,244730,18900
